iter	Logloss
0	0.5739084788
1	0.4993634831
2	0.4468277592
3	0.4112274304
4	0.3828235431
5	0.3662898255
6	0.3513485175
7	0.339495864
8	0.3319576502
9	0.3242707829
10	0.3181298307
11	0.3132402827
12	0.308892811
13	0.3054280013
14	0.3003536308
15	0.2961421937
16	0.2938867108
17	0.2917937343
18	0.289484072
19	0.2855220028
20	0.2806985978
21	0.2781127433
22	0.2754229346
23	0.2713421782
24	0.2697102525
25	0.2652152872
26	0.2635427658
27	0.2626239295
28	0.2606338611
29	0.2580139382
30	0.256292669
31	0.2555151903
32	0.2536544345
33	0.250887576
34	0.2483668145
35	0.2477821142
36	0.2466570853
37	0.2453802722
38	0.2430743479
39	0.2414519638
40	0.2401307235
41	0.2383507617
42	0.2369205706
43	0.2358624427
44	0.2349212196
45	0.2338085063
46	0.2330159078
47	0.2313638875
48	0.2305682747
49	0.2291735765
50	0.2274684755
51	0.2260633717
52	0.2247931763
53	0.2241620718
54	0.2226507356
55	0.2222226055
56	0.2212965043
57	0.2189048732
58	0.2161796075
59	0.2146803191
60	0.2126254137
61	0.2112567384
62	0.210033508
63	0.2090134909
64	0.2075577118
65	0.2067479768
66	0.2040303664
67	0.2023699369
68	0.2011960077
69	0.1994821009
70	0.1971966558
71	0.1953370084
72	0.1942565201
73	0.1931498208
74	0.1913052649
75	0.1898769146
76	0.1887502928
77	0.1863368369
78	0.1858267039
79	0.1846638166
80	0.1836393376
81	0.1820791759
82	0.1795753655
83	0.1785928125
84	0.1778936985
85	0.1770630443
86	0.1760297054
87	0.1751193239
88	0.1744618398
89	0.1734377918
90	0.1723681208
91	0.1708175834
92	0.1698033267
93	0.168609255
94	0.1670659679
95	0.1650246109
96	0.1641722514
97	0.1634277366
98	0.1622082655
99	0.1617715041
100	0.1608194391
101	0.1603426618
102	0.1590250103
103	0.1587366993
104	0.158053416
105	0.157460321
106	0.156679274
107	0.1559374335
108	0.1554470071
109	0.1548937479
110	0.1541011784
111	0.1534472579
112	0.1530805095
113	0.1526773203
114	0.1519225158
115	0.1515108326
116	0.1505514285
117	0.1496754339
118	0.1491791292
119	0.148547031
120	0.1480558856
121	0.147645457
122	0.1464633501
123	0.1452181807
124	0.1447460428
125	0.1441271407
126	0.1438654282
127	0.143008523
128	0.1425754644
129	0.1420782714
130	0.14140247
131	0.1405238427
132	0.1399515051
133	0.1394422159
134	0.1386901567
135	0.1380476905
136	0.1371600436
137	0.1360860889
138	0.1350009234
139	0.134305961
140	0.1337108673
141	0.1332658923
142	0.1330063615
143	0.1326749212
144	0.1320321129
145	0.1315464149
146	0.1310627273
147	0.1307830785
148	0.1304467718
149	0.1301762112
150	0.129741158
151	0.1293956991
152	0.1289944057
153	0.1287090647
154	0.1282888459
155	0.1277786267
156	0.1271204774
157	0.1267751388
158	0.1262935346
159	0.1261223243
160	0.1257539284
161	0.1254700176
162	0.1247776612
163	0.1243294707
164	0.124091232
165	0.1238537441
166	0.1236164797
167	0.1232767047
168	0.1228710609
169	0.1224727215
170	0.1222807019
171	0.1217458687
172	0.1214053866
173	0.1210175441
174	0.1206531187
175	0.1203093494
176	0.1201901564
177	0.1200020286
178	0.1198188267
179	0.1193392886
180	0.1191091449
181	0.1189759971
182	0.1188734964
183	0.1184935592
184	0.1182114679
185	0.1179275208
186	0.1172462958
187	0.1167981908
188	0.1164827355
189	0.1161732309
190	0.1159245666
191	0.1156934533
192	0.1154513635
193	0.1152256521
194	0.1148603897
195	0.1146620879
196	0.1143411491
197	0.1137632375
198	0.1134874169
199	0.1131034307
200	0.1129021567
201	0.112592327
202	0.1123979882
203	0.1119637114
204	0.1115568435
205	0.1111327905
206	0.1109713083
207	0.1107282304
208	0.1101384832
209	0.1098672426
210	0.1092619567
211	0.1090270602
212	0.1086896172
213	0.1083529384
214	0.1075915706
215	0.1071478871
216	0.1069305797
217	0.1066450057
218	0.1065525484
219	0.1062103855
220	0.1059281226
221	0.1055399517
222	0.1054281534
223	0.1052371065
224	0.1048542966
225	0.1046543379
226	0.1043865025
227	0.1041825325
228	0.1038602906
229	0.1033749347
230	0.103223926
231	0.1031293907
232	0.1028792493
233	0.1026888549
234	0.102502047
235	0.1022407123
236	0.101862225
237	0.1016560536
238	0.1013827288
239	0.1010177983
240	0.1008670711
241	0.1007379088
242	0.1005522292
243	0.1004246988
