iter	Passed	Remaining
0	2	1121
1	4	1172
2	7	1184
3	9	1146
4	11	1172
5	14	1155
6	16	1145
7	18	1138
8	21	1160
9	23	1161
10	25	1154
11	28	1158
12	30	1158
13	32	1135
14	35	1142
15	37	1139
16	39	1135
17	42	1134
18	44	1126
19	46	1125
20	48	1117
21	51	1115
22	53	1107
23	55	1104
24	58	1102
25	60	1100
26	62	1094
27	64	1090
28	67	1088
29	69	1086
30	71	1084
31	74	1087
32	76	1083
33	78	1079
34	81	1079
35	83	1078
36	85	1073
37	88	1079
38	91	1079
39	93	1078
40	96	1079
41	98	1076
42	101	1074
43	103	1074
44	105	1069
45	108	1066
46	110	1064
47	112	1062
48	115	1064
49	117	1061
50	120	1061
51	123	1062
52	125	1062
53	128	1061
54	130	1059
55	133	1057
56	136	1057
57	138	1056
58	141	1053
59	143	1052
60	145	1050
61	148	1050
62	151	1050
63	154	1051
64	157	1052
65	159	1050
66	162	1050
67	165	1048
68	167	1045
69	169	1044
70	172	1041
71	175	1040
72	177	1038
73	180	1038
74	183	1037
75	185	1035
76	188	1032
77	190	1030
78	192	1026
79	195	1024
80	197	1020
81	199	1017
82	202	1015
83	204	1012
84	206	1009
85	209	1007
86	211	1004
87	214	1002
88	216	1000
89	219	998
90	221	996
91	224	995
92	226	993
93	229	991
94	231	988
95	234	987
96	237	985
97	239	982
98	242	980
99	244	979
100	247	976
101	249	974
102	252	972
103	254	969
104	257	967
105	259	965
106	261	961
107	264	959
108	266	955
109	269	954
110	271	952
111	274	949
112	276	946
113	278	944
114	281	941
115	283	939
116	285	935
117	288	932
118	290	930
119	292	927
120	295	924
121	297	921
122	299	918
123	302	916
124	304	913
125	306	910
126	309	908
127	311	905
128	314	903
129	316	902
130	319	899
131	321	896
132	324	895
133	326	893
134	330	892
135	332	890
136	335	888
137	337	885
138	340	883
139	343	882
140	345	880
141	348	878
142	350	875
143	353	873
144	355	871
145	358	868
146	360	865
147	363	864
148	365	861
149	367	857
150	369	855
151	372	851
152	374	849
153	376	846
154	379	843
155	380	840
156	383	837
157	385	834
158	387	832
159	390	828
160	392	825
161	394	822
162	396	819
163	398	816
164	401	814
165	403	811
166	405	809
167	407	805
168	410	803
169	412	800
170	414	797
171	416	794
172	419	792
173	421	789
174	423	786
175	425	783
176	427	780
177	430	778
178	432	775
179	434	772
180	437	770
181	439	767
182	442	766
183	445	765
184	450	767
185	454	766
186	457	766
187	460	764
188	463	762
189	465	760
190	468	757
191	470	755
192	473	753
193	476	751
194	479	749
195	481	747
196	484	745
197	488	744
198	490	742
199	493	740
200	496	738
201	499	736
202	501	733
203	504	731
204	506	729
205	508	726
206	511	723
207	513	721
208	516	718
209	518	715
210	520	713
211	523	710
212	525	707
213	527	704
214	529	702
215	532	700
216	535	698
217	538	696
218	541	694
219	544	692
220	546	690
221	549	687
222	552	685
223	554	683
224	557	681
225	560	679
226	563	677
227	565	675
228	568	673
229	571	670
230	573	668
231	576	665
232	578	662
233	580	660
234	583	658
235	586	655
236	588	653
237	591	651
238	594	648
239	596	646
240	599	644
241	601	641
242	604	639
243	606	636
244	609	634
245	611	631
246	614	629
247	617	627
248	619	624
249	622	622
250	625	620
251	628	618
252	630	615
253	633	613
254	635	610
255	638	608
256	640	605
257	643	603
258	646	601
259	648	598
260	651	596
261	653	594
262	656	591
263	658	589
264	661	586
265	664	584
266	667	582
267	669	579
268	671	577
269	674	574
270	676	572
271	679	569
272	681	566
273	684	564
274	686	561
275	688	558
276	691	556
277	693	553
278	695	551
279	698	548
280	700	546
281	703	543
282	705	540
283	707	538
284	709	535
285	711	532
286	714	529
287	716	527
288	718	524
289	721	522
290	724	520
291	726	517
292	728	514
293	730	512
294	733	509
295	735	507
296	738	504
297	740	502
298	743	499
299	745	497
300	747	494
301	750	491
302	752	489
303	755	486
304	757	484
305	759	481
306	762	479
307	764	476
308	767	474
309	769	471
310	772	469
311	774	466
312	777	464
313	779	461
314	781	459
315	784	456
316	786	454
317	788	451
318	790	448
319	793	446
320	795	443
321	797	441
322	800	438
323	802	435
324	804	433
325	807	431
326	810	428
327	812	426
328	814	423
329	817	421
330	820	418
331	822	416
332	825	413
333	827	411
334	830	408
335	832	406
336	835	404
337	841	403
338	844	400
339	847	398
340	850	396
341	853	394
342	855	391
343	858	389
344	860	386
345	862	384
346	865	381
347	868	379
348	870	376
349	874	374
350	877	372
351	880	370
352	883	367
353	886	365
354	889	363
355	891	360
356	893	358
357	896	355
358	898	352
359	901	350
360	903	347
361	905	345
362	908	342
363	910	340
364	912	337
365	915	335
366	917	332
367	919	329
368	921	327
369	924	324
370	926	322
371	929	319
372	932	317
373	934	314
374	936	312
375	938	309
376	941	307
377	943	304
378	945	301
379	947	299
380	949	296
381	951	294
382	954	291
383	956	288
384	959	286
385	961	284
386	964	281
387	966	279
388	969	276
389	971	274
390	973	271
391	976	268
392	978	266
393	980	263
394	982	261
395	985	258
396	987	256
397	989	253
398	992	251
399	994	248
